Não Consolidado,31/12/1986,31/12/1987,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019
Divida Bruta / Ebitda x,0.9915354281,3.4027637863,3.0105728658,,,,4.1217404281,,,,1.6461361500,,,,3.5096932156,,,,2.7423984721,,,,1.5620524162,,,,3.4467476226,,,,2.5465217087,,,,3.4607407079,,,,2.6785473775,,,,3.0869668962,,,,2.3242375888,,,,0.7496107968,,,,0.5104294578,,,,0.7903601397,,,,0.4048517571,,,,0.3285766074,,,,0.2182730416,,,,0.1525756161,0.1603563582,0.1577887954,0.1515938059,0.1535055927,0.1707778308,0.2054476486,0.1670821314,0.2261349333,0.2347999894,0.2378238615,0.4610505506,0.6176724957,0.7214951746,0.7910783273,0.7100519070,1.0581758779,1.0218521712,0.9746763206,1.0944756509,1.1252240176,1.1278702120,1.4610744128,1.5675976514,2.2605862891,2.2651775016,1.9081439803,1.8834384072,2.1415778737,3.7007611255,3.8583619450,5.5379729681,-51.5769038070,67.7060744370,48.2750407170,17.4116669630,26.9193335100,37.7557809330,26.7035569000,-55.2653508760,5.8210711560,5.0701630185,4.4793099817,3.5481677474,4.6245392134,4.2881274594,4.5116307245,4.1588952747,3.7014263252,5.6428722549,4.2135634921
Divida liq / Ebitda x,0.7760670338,2.9321268876,2.3968226425,,,,3.7036207371,,,,1.3517325936,,,,3.2815047681,,,,2.5504622031,,,,1.1115891155,,,,2.4211430308,,,,2.2978110161,,,,2.9544620088,,,,2.3704654695,,,,2.7999447492,,,,1.6404185403,,,,0.1428370182,,,,-0.4978243513,,,,0.2684559602,,,,-0.3226189621,,,,-0.0557929390,,,,-0.2548757188,,,,-0.3285603372,-0.1849911805,-0.1495712377,-0.0481178681,-0.0631480828,-0.2092345528,-0.2014384899,0.0200456880,0.0436375807,-0.0129409284,0.1429330491,0.0567213072,0.2614480239,0.3645473547,0.4401656609,-0.0460883026,0.0440816006,-0.0868742878,0.0445225175,0.1738357100,0.2562829816,-0.0766044720,0.4392205289,0.4757364613,1.1697410432,1.3022752250,0.5089742137,0.7068703436,1.5074564004,2.9713808163,3.3066054655,4.7972713965,,62.9106171280,44.5352198700,16.2869265920,24.5084192890,35.4972278570,25.4296443100,,5.6354634891,4.8778509108,4.4044995086,3.4540668741,4.5427643816,4.1145183479,4.3433032469,4.0543650690,3.5856581312,5.5657978251,4.1615476190
Divida CP / Divida Tt %,45.5486364610,55.8182081000,56.7391723670,66.6233963160,61.5756047240,71.3487238960,67.6744432220,69.1165727220,68.1613343000,65.4404352240,70.7499731730,72.2731575260,73.5543291870,63.3486386910,68.7463221540,70.9610257510,71.3678485010,75.3050343640,74.2878814450,69.8887493700,65.9356590370,71.6534702430,64.0475198140,62.1334901520,60.0996080380,60.1289304690,62.5032014280,62.0859778090,64.2283689510,69.4837591540,72.1392323960,78.3054509910,76.1625615840,77.2884814840,68.6033026620,72.2448126890,74.1076461350,70.0178585870,71.0066893310,68.1907526620,63.1713299670,62.5321038390,50.0549734630,44.7503149550,51.1015471970,54.2052440690,54.9792238770,59.5210371900,53.4341674480,49.4492912280,47.9642979390,41.8393443600,34.1109319150,26.9679267440,20.1185340740,18.2696215800,12.8373556570,21.8195891570,18.9056227700,19.8762749910,18.8154305250,10.6679921790,13.6138138810,16.5327996990,16.4372524040,15.9241751030,13.2355855800,13.3996678230,14.0174254990,14.2463050270,20.5307447010,20.9332657760,22.1514208830,20.3701003120,20.0739197590,20.9918334500,21.9376000880,19.4788983460,13.4613288790,11.1614902000,32.4554904010,37.0017669720,17.9489096680,23.9232824820,19.3252464770,7.5378367332,10.7219705460,25.0253491740,24.3676740970,21.9936515610,8.3040437240,9.5607378657,7.7353201943,9.6420783112,8.2439113196,8.6621001333,10.9183955160,7.0842625893,9.7046066628,7.9859144942,2.7449859260,4.4097537756,3.7657482919,25.6510091290,21.2354582580,28.2262779820,24.3828164840,22.2680246400,24.9237750240,20.8517947950,17.8423820850,18.8066789870,22.7970328940,25.4989881350,23.0013294720,24.1170321560,22.8329983660,23.2676748550,27.7838719350,25.3957950970,31.6593490700,40.2133540100,32.2594250170,33.9501567210,39.4638252510
Exigivel Tt / Ativo Tt %,39.4110581970,44.0161269030,42.6836849550,41.9763151490,39.5340893570,39.2162945310,41.1087024820,41.6567226980,43.1641890490,44.3775263760,49.2089217000,43.3079220570,43.7210325920,46.7572936420,34.5677086440,34.5250711010,36.0872102920,37.1838551440,37.3582888880,36.6396846470,37.4817594770,37.3046863300,37.4687988340,36.0706810230,36.4131815740,33.3566844810,32.7378348760,32.3866411840,31.9850910550,32.9187077190,33.5753206210,34.9054885460,36.2674802100,37.4122129260,40.3664248490,40.1730926860,39.9564219280,41.2437457320,41.6299386570,42.3784356600,42.7781714700,44.2569396160,43.7852191820,51.4127747010,53.0319679870,70.3252296290,67.8217998510,65.2547829770,62.1808191010,60.0573576550,61.1512276500,57.4870477770,54.7346871340,54.9383519730,58.6680477660,54.9392814130,56.9467384900,63.3302614650,63.2077008830,58.8960442540,54.1745086140,54.7767384230,57.0034791330,53.4253915100,53.9494239600,54.1192511000,53.3162387190,50.7088452150,48.3798003920,47.2504460150,47.5997548940,44.3049056820,41.4625326610,43.5353661740,44.6691084960,42.5944885980,42.8012915480,42.7614660320,45.0785485660,46.9471958150,47.4027062730,47.7307010520,53.6829242050,53.1542493430,52.3458299140,50.8130573610,48.0283881830,48.9972892020,48.4550305240,34.6855207970,34.1448290130,33.3986936460,32.1299087770,33.0112585580,33.1267712220,35.6270326140,34.7884934290,35.6356873940,39.2091134300,42.4056920970,46.1251507940,46.5438006350,45.0166494510,45.8578054140,45.0274214680,48.6050841620,51.4698973140,53.8194666160,54.1672012480,59.0521583140,63.5393317930,61.1157249300,58.8948664590,59.8157191470,63.3141178260,61.8613416720,61.6804110580,62.0823670350,63.5306794870,63.1200105230,63.5533480170,64.3685890400,66.9859012030,72.9226598460,72.0846308660
Exigivel Tt / Pat Liq %,65.0466191080,78.6228684580,74.4703928050,72.3434150320,65.3824426640,64.5177753300,69.8043755430,71.3993533160,75.9454089350,79.7834463030,96.8849714280,76.3914882430,77.6862735870,87.8191527830,52.8297388450,52.7302154910,56.4632062800,59.1947424170,59.6380402520,57.8274972940,59.9533178860,59.5015546560,59.9201648710,56.4227518760,57.2652988080,50.0525584920,48.6719908830,47.8997667790,47.0265880700,49.0728586160,50.5464549230,53.6227828840,56.9057685600,59.7755803100,67.6907677370,67.1488707850,66.5457043230,70.1946477790,71.3207039690,73.5461387500,74.7584839010,79.3945278760,77.8891575220,105.8154162600,112.9107729500,236.9866009100,210.7694014400,187.8093981500,164.4160915800,150.3590001300,157.4083914400,135.2224316900,120.9197146000,121.9182040100,141.9435681000,121.9227813800,132.2704401300,172.7044260300,171.7960073100,143.2855869600,118.2191548300,121.1251389400,132.5769573600,114.7092659300,117.1525496500,117.9563376700,114.2072473500,102.8761558400,93.7226139390,89.5750626220,90.8388019890,79.5490271160,70.8307594190,77.1020074410,80.7308671180,74.1993016990,74.8291223820,74.7074795040,82.0782178710,88.4914502370,90.1238503260,91.3168954100,115.9030946600,113.4665334500,109.8452240700,103.3059886100,92.4127355360,96.0680097880,94.0053530260,53.1054082040,51.8483643750,50.1472050240,47.3403058660,49.2788158840,49.5366708440,55.3447107710,53.3471702440,55.3655992760,64.4983411860,73.6282692530,85.6153687170,87.0690419200,81.8732379910,84.6988301180,81.9088765170,94.5717749870,106.0576723800,116.5414573400,118.1843629900,144.2131157200,174.2681495400,157.1733684600,143.2786160400,148.8535265000,172.5844223300,162.2011480900,160.9631333700,163.7295426400,174.2030797200,171.1497519900,174.3736243500,180.6512492900,202.9008927800,269.3124931500,258.2256051200
Exigivel Tt / Receita %,48.9717688880,55.9271077600,51.7361231700,,,,58.8576677080,58.9145803010,60.8710327800,61.8478614510,62.2367896170,48.6731694360,51.7149745330,59.9186372690,70.9996419330,67.3282000660,69.6996311240,65.6636004410,64.6796786830,63.5344848230,65.0752197220,66.0227666710,65.8209218200,61.8708853160,61.7893600740,56.5663311970,56.3988334580,56.5200223600,57.7116436880,62.8021848990,65.6556448540,69.5039627700,72.3012119490,73.5853296330,80.2763592580,78.5858493680,78.5949542180,87.4645539370,90.3260251650,95.2791238610,98.0815112120,105.7781267600,107.4360267000,134.6068213200,133.0417347400,182.4058942200,138.4540869300,116.7579731200,98.9540329270,89.9801073890,89.0918449970,80.1039131970,74.4961562730,77.5524879860,85.9029309470,80.1123876630,94.0880650230,124.1243933700,112.1629824900,95.2917588270,78.3003215110,80.2149224320,88.8517738800,85.9866451190,91.9609583280,89.7682850390,85.7526070720,79.3468097210,70.5838772930,69.7123681170,69.2762522040,62.9386855560,59.3121193990,63.7078126990,67.0177868290,64.4142194350,67.1110146970,68.8827144720,75.1147966340,81.8607670120,82.3603484620,83.2755241910,103.2466996700,107.7474477600,113.0547760000,117.9191074000,112.9901957400,116.8895157500,114.5454521700,104.6947391000,101.8224234600,99.0190088710,91.7896990520,93.1052467850,89.0572345830,95.6552595130,89.3221368100,90.8280544580,101.9172980300,110.7716631900,126.9144989900,127.3561143400,120.0622673700,123.0461334600,117.0848815300,124.0123108800,121.5118263300,133.6494572900,138.0702128000,161.7908237800,176.8423610600,166.9285448600,162.9295824200,167.3128310400,193.6001291100,188.4463731300,187.5949675100,192.7307476100,201.7292204000,202.6090930900,205.3699343800,197.0503380900,200.1045894900,262.9803257700,265.5073622000
Ativo Fixo / Pat Liq %,57.7972130220,64.1660016140,63.0151007900,60.9264376050,63.6977468810,61.3930376290,62.9540911370,62.8922471160,61.5572359660,60.8446982950,62.2165472240,60.4093225340,55.6527706730,58.1769329500,63.9862340860,63.1192241660,63.1414069890,64.1459401170,60.9570476900,59.6268165900,58.4060064280,56.9660372330,59.4430497260,59.2026470120,58.6004135840,55.5828015890,55.3616422860,55.0925742700,55.7501139710,56.1253151890,56.8911517350,59.2274884660,59.1490037150,58.9492988970,60.4580027000,60.7974401110,60.7085848600,59.8023344260,59.9373796110,61.0826272560,61.7737558180,62.2603971520,60.4017301080,65.6275180700,63.7025763910,96.7958577760,86.4655347720,77.0594895390,70.7497941710,66.2555909700,65.3547520150,58.1339705270,55.8925988120,53.7098522310,62.9362908260,61.4627244350,58.4248216710,57.8515693980,61.0511485630,61.5299123040,62.3569323720,63.2635754440,67.5972152870,65.1770163680,63.8042280940,64.9275115020,66.2718542500,63.5858831350,64.0314433530,61.3216233310,62.9120325810,61.1285915130,59.0013888510,60.0772278170,59.0469489280,59.3111842740,59.6715436700,61.8362171860,66.5896523760,66.5426645150,66.2699744550,65.2891831040,82.7533144320,83.5594030210,85.7443318740,88.4531790030,90.5844573140,92.0744556070,96.2205241340,59.6764584720,61.7523856090,63.6090238730,65.3424621290,66.9316678400,68.7804624430,70.0731591680,72.2551242210,75.2044671630,81.4767768000,86.2523469910,89.0345364570,91.2912950990,115.6337515200,116.9314526600,119.1181401700,132.0181809700,141.5421178100,146.7625544000,146.6483301900,157.5015806400,173.6887147600,168.6853266100,162.3147073500,163.7228119500,169.7522279500,164.6485920400,163.8869449200,161.3208844600,164.9851317300,162.3184036100,156.6663949300,158.5717975600,174.3619803400,241.6020717500,223.2429459300
Investimentos / Pat Lq %,43.9053610350,48.1608897580,53.1788929830,53.4361094600,53.6830789150,56.4892775560,57.5841923970,56.1446568030,53.5991009130,52.0695991460,49.5901371130,48.1701098360,44.5347637570,45.4953130410,34.5633802270,34.7210487240,35.1097109800,32.7065433320,32.4891701000,32.5197885530,37.1158517310,36.3538012530,32.6657399150,32.0634954260,32.3536862330,30.1341828790,29.8031673200,29.9501491070,30.7644909060,30.6300835480,31.6672582910,32.6653883870,32.6602090210,32.9068478760,33.1592879290,33.6568233060,33.9344850110,36.2755379720,37.2470144990,38.1112290040,38.6544556420,39.1745081920,38.5739047870,43.4309552990,43.5407412930,54.4330590970,48.9698960200,44.6251458990,41.0180092230,38.1512570650,38.3989253050,39.2669908000,28.6240907060,28.8693613420,28.5897524960,27.8189929900,27.7354517860,31.1694793190,28.6777309020,25.4295384820,23.5715842580,23.8520556510,22.9360076980,22.1634926660,22.2023469830,21.6822317160,21.8647206210,21.9068260560,25.5543519500,23.7534910990,25.2364321910,23.5559713590,23.6971675070,23.2871934520,22.9180630840,22.3359146180,21.9733358360,21.1395380250,22.4707238850,22.7592996910,21.8586910440,20.7038608650,19.6506235190,20.4703940740,21.2933212320,21.8955014860,21.5515050790,23.2504608390,24.9304366110,16.2828354240,16.5806767120,16.2296760240,16.6519312810,17.0863202210,17.3203591390,18.4444571950,19.6395660820,21.9190282870,22.8536131870,24.1368523350,26.3107892690,26.6157448020,23.9836713190,,,,,,,,,,,,,,,,,,,,,,
Liquidez Geral x,0.9704572951,0.8404007923,0.7773891014,0.7965355447,0.7288214349,0.7166914393,0.6985548969,0.7263027247,0.7940084398,0.8320252147,0.8729426371,0.8810449881,0.9896839608,0.9498825144,1.0168145673,1.0299784525,1.0152579677,1.0304370355,1.0885698070,1.1136896001,1.0443821212,1.0794880561,1.0960218661,1.1182369267,1.1204672930,1.2428212468,1.2630030690,1.2689378324,1.2424832140,1.2272575327,1.1848916666,1.1095898586,1.1060688338,1.1008705369,1.0616601974,1.0489520716,1.0448590678,1.0189688522,1.0012266628,0.9699630330,0.9509987213,0.9343708310,0.9540797990,0.8631955620,0.8862695705,0.7735173296,0.8204663196,0.8726745540,0.9162197950,0.9581369592,0.9626783748,1.0045518043,1.1119560906,1.1185240569,1.0523393750,1.0790729919,1.0966441109,1.0576250436,1.0526432799,1.0837762015,1.1101432902,1.0975083726,1.0674616274,1.1052708568,1.1143016939,1.1080250150,1.0979612675,1.1346436643,1.1039269719,1.1592091971,1.1225810355,1.1839675819,1.2341550426,1.2060079868,1.1794323278,1.2031862958,1.2029316698,1.1864600272,1.0932878251,1.0881948149,1.1031710974,1.1296484034,0.9515818988,0.9378450448,0.9096284420,0.8729432863,0.8398868649,0.8186351558,0.7535094410,0.9579312410,0.9265870483,0.9071315038,0.8702330950,0.8428360970,0.8033122297,0.7887512633,0.7190419063,0.6416490485,0.5831365314,0.5461618755,0.5541910771,0.5328444233,0.3992856506,0.4069788094,0.3726473345,0.3443752497,0.3286939372,0.3112535452,0.2960262858,0.2814769207,0.2963134834,0.2710099045,0.2568490244,0.2834748801,0.2949163846,0.2893035891,0.2651048385,0.2791698263,0.2885576359,0.2885507794,0.3054640877,0.3052456591,0.3044434410,0.2232238097,0.3003040731
Liquidez Corrente x,1.2722366110,0.9730114638,0.8759803828,0.8558683481,0.8113383680,0.7793917075,0.7952226410,0.8319122622,0.8978461964,0.9757885742,1.0071556774,0.9294382996,1.1342290179,1.1905566043,1.2894394007,1.2910485564,1.2397100442,1.1471838550,0.6487840019,0.6650246371,0.7728866134,0.8002411421,0.9511258650,0.9367852018,0.9637966150,1.0980797154,1.0797669111,1.1212676149,0.9973767023,0.9330606394,0.7867644595,0.6529282227,0.6172599336,0.5777742069,0.6040085177,0.5820688648,0.5787931649,0.6304173651,0.5992814965,0.6150377990,0.5619753462,0.4901183890,0.6397457549,0.4271333958,0.4445551771,0.5706443971,0.6265940104,0.6558776722,0.7565524670,0.9638002580,0.9258995379,1.0622171025,1.0325140827,1.0984521449,1.0748309728,1.0780168317,0.9855801798,0.7849591924,0.7511452410,0.7857939593,0.8702552843,0.9278813113,0.9013576925,0.9777701194,0.8922084678,0.7700858944,0.7393664856,0.7569893444,0.8346263308,0.9203902950,0.9370813248,1.0537200058,1.0870406877,0.9991538852,0.9733600365,0.9225498199,0.7844696594,0.7188705292,0.6649585901,0.7120310580,0.7343103081,0.6195406184,0.4588831847,0.4576126883,0.5453451277,0.6467902635,0.7160664789,0.7174839849,0.7678036434,1.3732047341,1.5255573045,1.8188034342,1.9141423083,1.7779941641,1.7219734519,1.7772619103,1.6671076736,1.6568567121,1.4147470356,1.3448434072,1.7761257021,1.2268416582,0.8572313244,0.9526331112,1.0052532119,0.7446424306,0.7585054266,0.7308535889,0.6669792944,0.6717192763,0.7834237556,0.7196213175,0.6449756088,0.6603997571,0.7164179105,0.7196932736,0.6562191749,0.7117002318,0.6188302511,0.6110207930,0.5601100191,0.4869072583,0.5202852000,0.4013428753,0.5721649837
Liquidez Seca x,0.5950671357,0.5046987674,0.5100590942,0.5785642476,0.5261149606,0.5553260753,0.5865686539,0.6352277393,0.6474347171,0.6863780561,0.7532615403,0.6421090448,0.8283366800,0.9101987897,1.0282983628,1.0455295862,1.0015734916,0.9313796093,0.3826978257,0.3622944116,0.4640143366,0.5062433726,0.5946385638,0.5884609484,0.6283189447,0.7034335014,0.6419761616,0.6690471623,0.5559293092,0.5485367288,0.4326292104,0.3720257993,0.3288155797,0.2737270907,0.3139029850,0.2848585752,0.2856702033,0.3409328945,0.3054950461,0.3042357486,0.2695661891,0.2357363840,0.3680386231,0.1849807204,0.2238531766,0.3398073778,0.4141225902,0.4404489910,0.5057069067,0.6748810304,0.6753024038,0.7702923705,0.7414887389,0.7989881990,0.8331141316,0.7669471585,0.6978277343,0.5328663215,0.5071857325,0.5140450917,0.6105728387,0.6898203303,0.7088356414,0.7278343258,0.6457029856,0.5296875209,0.4983096271,0.5107464027,0.5754966705,0.6598502575,0.7203412552,0.7707502911,0.7481654371,0.7158352025,0.7180549477,0.6613542088,0.5282112749,0.4562483255,0.4529861445,0.4977933629,0.5160566440,0.4046345798,0.3349069700,0.3301205368,0.4125559348,0.4804448926,0.5165718206,0.5389657741,0.5757428555,1.1374907865,1.2821435983,1.5131809960,1.5453591167,1.4180391118,1.3279552248,1.4107459838,1.2355485148,1.2196187148,1.0484563314,0.9660286344,1.4048828714,0.9365087094,0.5879837103,0.6630708400,0.6454676191,0.4926575264,0.5029926984,0.4702701079,0.4214071856,0.4409487099,0.5552462303,0.4698444994,0.4025299029,0.4432297131,0.5092435049,0.5094125986,0.4351391602,0.5058958235,0.4437609111,0.4338462909,0.3688246214,0.3283425963,0.3623419598,0.2877945188,0.4683147251
Capital de Giro $,5.3593821818,-3.2169072727,-141.3363636400,-268.1741818200,-469.1680000000,-1360.4010909000,-3896.0941818000,-12855.4210900000,-10114.4680000000,-3637.3810909000,2033.6574550000,-27434.4552720000,69497.7476360000,157937.4083600000,523516.7272800000,1048017.0290000000,1690005.1767000000,1942810.5884000000,-9046441.0909000000,-16655409.6090000000,-23813941.9600000000,-51892714.5460000000,-29124363.6370000000,-102014157.4500000000,-172333000.0000000000,492895000.0000000000,427196000.0000000000,611340000.0000000000,-14029000.0000000000,-413346000.0000000000,-1501655000.0000000000,-2734304000.0000000000,-3138250000.0000000000,-3618174000.0000000000,-3647472000.0000000000,-3818819000.0000000000,-3923008000.0000000000,-3645511000.0000000000,-4118039000.0000000000,-4072462000.0000000000,-4790090000.0000000000,-5743463000.0000000000,-3628145000.0000000000,-7299586000.0000000000,-8266517000.0000000000,-8586611000.0000000000,-7407106000.0000000000,-7116777000.0000000000,-4694920000.0000000000,-685050000.0000000000,-1709202000.0000000000,1287624000.0000000000,781483000.0000000000,2528110000.0000000000,1929022000.0000000000,1675598000.0000000000,-393212000.0000000000,-8806043000.0000000000,-10593604000.0000000000,-9461188000.0000000000,-4490318000.0000000000,-2729669000.0000000000,-4295051000.0000000000,-858553000.0000000000,-4730141000.1000000000,-10908163000.0000000000,-12494079999.0000000000,-10972178000.0000000000,-7005991000.0000000000,-3550870999.9000000000,-3000949000.0000000000,2369863000.0000000000,3544681000.0000000000,-40400000.0000000000,-1353231000.1000000000,-3641774000.0000000000,-11164521000.0000000000,-14886553000.0000000000,-20231763000.0000000000,-20638123000.0000000000,-21504307000.0000000000,-35357740000.0000000000,-60441988000.0000000000,-62016652000.0000000000,-52029792000.0000000000,-34648285000.0000000000,-23038237000.0000000000,-23913728000.0000000000,-18135288000.0000000000,25808093000.0000000000,32816701000.0000000000,48821348000.0000000000,48614162000.0000000000,44825780000.0000000000,41106640000.0000000000,50198841000.0000000000,36976240000.0000000000,37909423000.0000000000,28202674000.0000000000,24052079000.0000000000,53558884000.0000000000,21584415000.0000000000,-14569406000.0000000000,-4710440000.0000000000,442000000.0000000000,-26727000000.0000000000,-23119000000.0000000000,-26874000000.0000000000,-36928000000.0000000000,-37814000000.0000000000,-22794000000.0000000000,-27010000000.0000000000,-35588000000.0000000000,-36903000000.0000000000,-32167000000.0000000000,-30450000000.0000000000,-35549000000.0000000000,-31222000000.0000000000,-50436000000.0000000000,-52399000000.0000000000,-70850000000.0000000000,-104968000000.0000000000,-89013000000.0000000000,-151662000000.0000000000,-125075000000.0000000000
Capital Employed $,61.7707898180,291.1454829100,2724.5450909000,4440.3589091000,6616.9130909000,16406.4574550000,49789.1956360000,196658.7330900000,238298.0076400000,328211.5101800000,560333.9687300000,885620.3567300000,1187151.8815000000,1879385.2204000000,6119368.7273000000,11901654.5360000000,21497559.3090000000,39813020.1740000000,76986948.0000000000,157372782.0200000000,354225963.6400000000,833493544.3600000000,2130533818.2000000000,5841447144.7000000000,16892729000.0000000000,19266892000.0000000000,20805053000.0000000000,22294910000.0000000000,23909450000.0000000000,25262373000.0000000000,26463600000.0000000000,26732094000.0000000000,27868683000.0000000000,29022257000.0000000000,29911628000.0000000000,30198295000.0000000000,30577325000.0000000000,32490632000.0000000000,32710970000.0000000000,32859614000.0000000000,32869157000.0000000000,33652773000.0000000000,33366992000.0000000000,34180735000.0000000000,35872095000.0000000000,43049500000.0000000000,42855283000.0000000000,45557000000.0000000000,46917410000.0000000000,48726455000.0000000000,47980959000.0000000000,49594952000.0000000000,45964345000.0000000000,48414562000.0000000000,47643011000.0000000000,48089854000.0000000000,52158120000.0000000000,59664213000.0000000000,59639861000.0000000000,67989353000.0000000000,73091645000.0000000000,75040696000.0000000000,77813176000.0000000000,82587994000.0000000000,88279718000.0000000000,89332971000.0000000000,91008833000.0000000000,96908520000.0000000000,98127100000.0000000000,103577228000.0000000000,107973187000.0000000000,115665111000.0000000000,123587382000.0000000000,126638126000.0000000000,130096970000.0000000000,134936995000.0000000000,140553239000.0000000000,145349922000.0000000000,151595670000.0000000000,160487565000.0000000000,171177712000.0000000000,182887579000.0000000000,201818428000.0000000000,210134362000.0000000000,213271196000.0000000000,228201138000.0000000000,237307602000.0000000000,259432295000.0000000000,276222546000.0000000000,395286261000.0000000000,408868725000.0000000000,418993230000.0000000000,427101817000.0000000000,438784895000.0000000000,441779277000.0000000000,463227741000.0000000000,467830481000.0000000000,479117178000.0000000000,505152411000.0000000000,519854597000.0000000000,561775702000.0000000000,547523710000.0000000000,535024592000.0000000000,599627529000.0000000000,608734000000.0000000000,613780000000.0000000000,590875000000.0000000000,610474000000.0000000000,618519000000.0000000000,652840000000.0000000000,647880000000.0000000000,631682000000.0000000000,618367000000.0000000000,601456000000.0000000000,631806000000.0000000000,631283000000.0000000000,629817000000.0000000000,642272000000.0000000000,667521000000.0000000000,670796000000.0000000000,707369000000.0000000000,738954000000.0000000000,760482000000.0000000000,971659000000.0000000000,1004814000000.0000000000
Prazo Med Estoques(dias),125.6093546400,76.6458746060,55.5476635290,,,,39.3568841800,38.9092746350,57.4362237790,73.7706238630,68.6497518940,61.3488946140,68.8404950310,65.0546715360,64.0307944140,57.2798604230,55.1249200490,47.6000636150,60.9379744100,63.8709037620,69.0849590110,69.4669724440,82.0955666650,77.0901400680,67.3260673660,74.0317442970,73.6579006070,70.6336511810,69.9206916340,67.3906291940,72.2325316680,64.2431252680,66.6769867810,70.9566721730,69.6138401430,68.5482644540,70.0436956710,75.5689870200,81.7440680820,92.7390965570,90.2843684520,81.4111224220,81.0068961730,93.0625207830,93.1126994690,112.4950517300,86.4780896320,79.6095032640,78.0889497610,83.0255424410,81.0114391660,80.4870819050,88.9040147820,92.8663366120,75.7498789890,82.6346035190,96.1546936040,120.7587398400,106.1665283800,110.0089850400,77.1551678830,76.2315707010,74.3664584100,86.7299624230,94.2314786450,91.0776620250,85.5838958110,78.5572514520,73.2474202690,75.9612970490,64.7085145350,75.5483082700,83.4749914190,76.7803005640,70.9552652220,65.9844073580,69.5871230010,73.6200575370,65.4137301430,73.8303806730,77.2312478650,77.6874520720,51.2129073150,55.2956784860,61.3134116200,72.4805640710,76.5778994940,67.8103443090,62.7021022420,64.2717104710,56.9174082680,65.9353824340,66.9009746650,66.3350154270,64.9631630450,62.6220198900,58.4652500420,57.4784245080,53.4110712730,54.2675745020,51.8482812100,54.2613975770,52.9689432190,53.6507591150,54.2682436330,45.9815150500,42.3009597740,47.1451220800,51.0323430350,52.3001754360,49.4823056710,50.0561680880,52.4135534730,53.4495146180,55.0333387540,54.8824730710,55.0259753280,52.3872265130,53.4203665390,55.0713379230,70.1573144580,68.0316446850,58.3378674280,54.9412164170,56.7314629780
